description,name,rating/average,rating/count,venue_id,venue/lat,venue/lon,venue/repinned,visibility,waitlist_count,yes_rsvp_count,how_to_find_us,duration,rsvp_limit
"<p>As digital professionals, we all use Google products like Google Analytics, Google AdWords, Google Webmaster Tools, and Google Tag Manager (to name a few). Let's meetup to   ways these tools are best used together, and collaborate on ways to overcome any obstacles we face.</p>",Google DM,4.5,2,22298802,25.078159,55.15337,FALSE,public,0,32,,,
"<p>As digital professionals, we all use Google products like Google Analytics, Google AdWords, Google Webmaster Tools, and Google Tag Manager (to name a few). Let's meetup to   ways these tools are best used together, and collaborate on ways to overcome any obstacles we face.</p> <p>This will be our second meetup, before we go on a break.</p> <p>For our next meetup, we're planning on having a short session on SEO, followed by Mo (one of our learners) talking about an experiment he tried out, followed by a general  ion. </p> <p>Hope you can make it!</p>",DM,5,2,10162282,25.075569,55.145359,FALSE,public,0,14,We'll be in Caffe Nero on the ground floor.,,
<p>A meetup to   different remarketing tools and techniques we can use.</p>,Remarketing,0,0,10162282,25.075569,55.145359,FALSE,public,0,21,We'll be in Caffe Nero on the ground floor.,,
"<p>You're invited to attend our upcoming class free of charge: <a href=""http://www.astrolabs.com/events/intro-asp-net/""><a href=""http://www.astrolabs.com/events/intro-asp-net/"" class=""linkified"">http://www.astrolabs.com/events/intro-asp-net/</a></a></p> <p>This crash course will get you into the ASP.NET development world.</p> <p>You might be completely new to web development, or only know the basics of web authoring using a CMS and other basic tools. This course will help you extend your skills to domain specific applications development.</p> <p>If you are familiar with other web apps development stacks like LAMP or JSP, this course is a chance for you to discover the ease of web apps development using Microsoft tools.</p> <p>This course is also beneficial for business managers with no deep technical background. It will help them get to know how things work from the developer’s point of view and what it takes to translate their business requirements into a web application.</p>",Microsoft Web Apps,0,0,10162282,25.075569,55.145359,FALSE,public,0,3,"We're on the ground floor of Almas Tower, exit the building right after Subway and we'll be on the left.",3600000,
"<p>We haven't met in a while, so we're scheduling our reunion meetup after Eid. </p> <p>We're going to meet to   Email Newsletters, a crucial part of any digital marketing strategy. </p> <p>Our <i>agenda</i> will include, a short presentation,   case studies on successful strategies, and a group  ion.</p>",Email Newsletters,5,2,10162282,25.075569,55.145359,FALSE,public,0,50,"We're on the ground floor of Almas Tower, exit the building right after Subway / Tim Hortons and we'll be on the left.",7200000,50
"<p>We're getting back in gear to have regular meetups again. This meetup is going to be split into two parts:<br/>1) A presentation on Social Media strategies that worked for us<br/>2) An open group  ion tackling issues we all faced. Let me know if you have any questions, and hope you can make it! Location:<br/>Almas Tower JLT Ground Floor. We're located right outside of Tim Hortons and Subway on the ground floor: <a href=""http://bit.ly/AlmasTower"" class=""linkified"">http://bit.ly/AlmasTower</a></p>",Social Media Strategy,5,3,10162282,25.075569,55.145359,FALSE,public,0,73,,,100
"<p><img src=""http://photos4.meetupstatic.com/photos/event/d/a/f/7/600_440576055.jpeg"" /></p> <p>Our second biweekly meetup in August!</p> <p><b>Featured Speaker</b>:</p> <p><b>Naguib Toihiri - <i>SEO Account Manager @ RBBi</i></b></p> <p>Naguib  has a 5-year experience optimizing online brands visibility &amp; increasing their traffic from search engines. Having worked as a SEO specialist in France at Orange (leading Telecom company), he joined RBBI in 2013 as a SEO manager helping top Middle East brands in various sectors, including Qatar Airways, Emaar and Jumeirah Group. He is a digital-passionate who keeps a constant watch on search engine trends &amp; regularly provides training in French Business Schools (Paris business school HEC and University Institute of Technology in Evry).</p> <p>Naguib will  :</p> <p>1.Technical SEO in[masked]. Historical evolution 1.2. Pyramid of SEO 2. Most common technical issues 2.1. Duplication issue 2.2. URLs optimisation 3. SEO Technical tool box 3.1. Google Search Console (Free) 3.2. Screaming Frog (Free/Paid) 4. Case studies 4.1. Regional Airline Industry 4.2. Real estate Industry</p> <p><b>Guest Speakers:</b></p> <p><b>Taqi Askari</b> - Case Studies</p> <p><b>Nabeel Tanveer</b>- Content Marketing / Social Automation Tools &amp; SEO</p> <p><b>Tiberiu Iacomi</b> - SEO vs the semantic web</p>",SEO,4.5,2,10162282,25.075569,55.145359,FALSE,public,0,97,"We're on the ground floor of Almas Tower, exit the building right after Subway / Tim Hortons and we'll be on the left.",7200000,
"<p><a href=""https://www.google.ae/maps/@25.0774991,55.1467764,18.25z"">Location Link</a></p> <p>After a short break, we're coming back for our regularly scheduled meetups.</p> <p>The list of speakers for this event include:</p> <p><b>Ghassan Younis, independent marketing consultant</b></p> <p><i>Does social media actually work for B2B? It depends.</i></p> <p><b>Saadia Asif, Founder of Fulcrum</b></p> <p><i>To Brand Or Not To Brand: An Introduction To Lean Branding For Entrepreneurs</i></p> <p><b>Vinod Mehra, Director Neev Consultancy<br/></b></p> <p><i>Social Selling to find Business Leads</i></p> <p>------------------------------------------------------------------------------</p> <p>Ghassan Younis is an independent marketing consultant with over 14 years of experience in branding, strategy, digital, and social media working with Fortune Global 500 brands and other major regional and international organizations.</p> <p>------------------------------------------------------------------------------ </p> <p>Dr. Saadia Asif is a seasoned branding and marketing professional with over 20 years of work experience across Asia, Europe, North America and the Middle East, including over 9 years within the UAE.  Her key areas of focus include the development and implementation of brands, ranging from developing the <i>Branded Business Concept</i> to <i>Brand Identity</i> and includes the end-to-end implementation for the organization. She has also worked extensively in the area of culture development and internal communications, designed to develop strong, sustainable internal cultures that drive business success. As the managing director of Fulcrum, she now works with companies both in the entrepreneurial and mid-market space to guide them towards developing strong, differentiated identities for a highly competitive market. </p> <p>------------------------------------------------------------------------------ </p> <p>Vinod Mehra is a social selling &amp; LinkedIn evangelist, blogger, trainer, sales Director @ NeeV Consultancy. His forte are SOCIAL SELLING, LinkedIn, enabling sales teams, Blue Ocean strategy and Cloud Computing. </p> <p>Vinod Mehra has invested over 25 years in the Information Technology industry building strong customer relations in banking, government and SME. He has worked as a Client Manager, Sales Manager, Sales Director and General Manager. He has managed Sales Operations and helped create strategies for large customer acquisitions to become a Trusted Advisor with over 1000+ customers. His business alliance skills enabled a Preferred Partner status with leading ICT partners. He practices social selling, solution selling, Blue Ocean strategy and leadership in GCC countries including UAE, Bahrain and Oman.</p> <p>Beyond the professional context, Vinod Mehra is the president of SmartLife - a Dubai based NGO (www.smartlifefoundation.org) helping uplift the economic status of blue collar workers. This is volunteer assignment.</p> <p>-------------------------------------------------------------------------------</p> <p>Add your email to receive meetup updates: <a href=""https://astrolabs.typeform.com/to/eOKBUb""><a href=""https://astrolabs.typeform.com/to/eOKBUb"" class=""linkified"">https://astrolabs.typeform.com/to/eOKBUb</a></a>.</p>",B2B Digital Comm,4,1,24081658,25.204849,55.270782,FALSE,public,0,80,"Enter Cluster R in JLT, go towards the MAG 214 and go downstairs on the right. At the park level, you will find AstroLabs. If you come from the park, AstroLabs is between a Qmeal and a Sheikh Shake restaurant.",,100
"<p>Andreas Forsland, the founder of Smartstones (<a href=""http://www.smartstones.co/"" class=""linkified"">http://www.smartstones.co/</a>) is going to   the latest trends in IoT and wearable devices and showcase the Smartstone, a device that enables digital communication between people through simple motion gestures.</p> <p>Andreas' power of innovation stems from his design and SaaS experience with companies such as Citrix, Philips or Porsche through which he connected to the pulse of the technology market.</p>",Wearable IoT,5,1,24081658,25.204849,55.270782,FALSE,public,0,9,,7200000,
"<p>Our last meetups had a lot of great inspiring presentations, but let's dive into something a little more technical this time. How do you know what KPI's are important to you, what you should track and what you should optimize for? </p> <p>This as the first meetup in a series of more to come on Digital KPI's, will serve as an introduction to this analytical approach to making the most of your efforts.</p> <p> The 2 speakers for the evening will be:</p> <p><b>Ahmad Abugosh</b></p> <p>To   technical KPI tracking of marketing channels using Google Analytics and what to optimize for based on his experience in Online Marketing and Business Intelligence. </p> <p><b>Tiberiu Iacomi</b></p> <p>To   the conversion funnel, with his experience using the BI tool BIME. He'll also go over an interesting case study of a personal interest to him. </p> <p>We'll also have a longer group  ion on what works best for each of us. See you then!</p>",Digital KPI's,0,0,24081658,25.204849,55.270782,FALSE,public,0,60,,,
